100421695700012077171460      DISK MED PADUA DISTRIBUIDORA DE MEDSanto Antonio de Padua        RJ22385490042011100120111031331
11RODOVIA PIRAPETINGA A PADUA       SN   KM 01                 SANTA LUZIA    28470000ADILSON                     002238549004
50081445000001090010115290044 20111004MG011  2114516108P000000000094100000000009410000000000113000000000000000000000000001200N
50081445000001090010115290044 20111004MG011  2114516403P000000002578800000000257880000000003095000000000000000000000000001200N
501090190000016378770880      20111004RJ011  2114525403P000000003155600000000315560000000000000000000000000000000000000000000N
501090190000016378770880      20111004RJ011  2114525102P000000000201500000000020150000000000383000000000000000000000000001900N
501081538100011078791349      20111004RJ011  2114535403P000000002314000000000231400000000000000000000000000000000000000000000N
501081538100011078791349      20111004RJ011  2114535102P000000000104400000000010440000000000198000000000000000000000000001900N
5011504310000160ISENTO        20111004RJ011  2114545403P000000002700000000000270000000000000000000000000000000000000000000000N
502961808900072184578797      20111004RJ011  2114555403P000000003346600000000334660000000000000000000000000000000000000000000N
5018338178000102ISENTO        20111004MG011  2114566108P000000001093200000000109320000000001312000000000000000000000000001200N
503163491800011610002834      20111004RJ011  2114575403P000000005541000000000554100000000000000000000000000000000000000000000N
503163491800011610002834      20111004RJ011  2114575102P000000000580500000000058050000000001103000000000000000000000000001900N
501153961500010778992450      20111004RJ011  2114585403P000000003979700000000397970000000000000000000000000000000000000000000N
500513735200010777414053      20111004RJ011  2114595403P000000009535100000000953510000000000000000000000000000000000000000000N
500513735200010777414053      20111004RJ011  2114605102P000000001200000000000120000000000002280000000000000000000000000001900N
5000496825000149081751753     20111004ES011  2114616108P000000000679000000000067900000000000475000000000000000000000000000700N
5000496825000149081751753     20111004ES011  2114616403P000000003747700000000374770000000002623000000000000000000000000000700N
503922203900019984563250      20111004RJ011  2114625403P000000001994600000000199460000000000000000000000000000000000000000000N
503922203900019984563250      20111004RJ011  2114625102P000000000234900000000023490000000000446000000000000000000000000001900N
503217334600018883594039      20111004RJ011  2114635403P000000004795100000000479510000000000000000000000000000000000000000000N
503217334600018883594039      20111004RJ011  2114635102P000000000237400000000023740000000000451000000000000000000000000001900N
500873552700017678268204      20111004RJ011  2114645403P000000001669600000000166960000000000000000000000000000000000000000000N
500873552700017678268204      20111004RJ011  2114645102P000000000710700000000071070000000001350000000000000000000000000001900N
50095521330001450010705170071 20111004MG011  2114656403P000000003300000000000330000000000003960000000000000000000000000001200N
5010470889000124082582980     20111004ES011  2114666403P000000001233300000000123330000000000863000000000000000000000000000700N
507367962300010685172107      20111004RJ011  2114675403P000000012129200000001212920000000000000000000000000000000000000000000N
500873552700017678268204      20111004RJ011  2114685403P000000002205900000000220590000000000000000000000000000000000000000000N
5003773834008021ISENTO        20111004MG011  2114696108P000000002160000000000216000000000002592000000000000000000000000001200N
500818316000012578141964      20111004RJ011  2114705403P000000002880000000000288000000000000000000000000000000000000000000000N
500696393300016077796363      20111004RJ011  2114715910P000000001200000000000120000000000002280000000000000000000000000001900N
500696393300016077796363      20111004RJ011  2114725403P000000023074900000002307490000000000000000000000000000000000000000000N
5018338178000102ISENTO        20111004MG011  2114736108P000000021275400000002127540000000025530000000000000000000000000001200N
5018338178000102ISENTO        20111004MG011  2114746108P000000000707100000000070710000000000849000000000000000000000000001200N
